,commodity,yw,farm_price,chicago_retail,cluster_1,cluster_2,cluster_3
1,GL,2017 W01,0.3,1.38,0,0,1
2,GL,2017 W02,0.3,1.48,0,0,1
3,GL,2017 W03,0.31,1.23,0,0,1
4,GL,2017 W04,0.34,1.3,0,0,1
5,GL,2017 W05,0.41,1.23,0,0,1
6,GL,2017 W06,0.62,1.3,0,0,1
7,GL,2017 W07,0.75,1.25,0,0,1
8,GL,2017 W08,0.64,1.83,0,0,1
9,GL,2017 W09,0.6,1.5,0,0,1
10,GL,2017 W10,0.7,1.45,0,0,1
11,GL,2017 W11,1.04,1.5,0,0,1
12,GL,2017 W12,1.73,1.5,1,0,0
13,GL,2017 W13,2.14,1.79,1,0,0
14,GL,2017 W14,2.14,1.83,1,0,0
15,GL,2017 W15,2.08,2.26,1,0,0
16,GL,2017 W16,1.14,1.83,1,0,0
17,GL,2017 W17,0.52,1.91,0,1,0
18,GL,2017 W18,0.45,1.83,0,1,0
19,GL,2017 W19,0.39,1.91,0,0,1
20,GL,2017 W20,0.33,1.83,0,1,0
21,GL,2017 W21,0.29,1.71,0,1,0
22,GL,2017 W22,0.29,1.91,0,1,0
23,GL,2017 W23,0.29,1.83,0,1,0
24,GL,2017 W24,0.31,1.91,0,1,0
25,GL,2017 W25,0.31,1.83,0,1,0
26,GL,2017 W26,0.32,1.91,0,1,0
27,GL,2017 W27,0.32,1.42,0,0,1
28,GL,2017 W28,0.33,1.38,0,0,1
29,GL,2017 W29,0.29,1.33,0,0,1
30,GL,2017 W30,0.29,1.67,0,0,1
31,GL,2017 W31,0.29,1.58,0,0,1
32,GL,2017 W32,0.29,1.67,0,0,1
33,GL,2017 W33,0.29,1.58,0,0,1
34,GL,2017 W34,0.31,1.23,0,0,1
35,GL,2017 W35,0.41,1.67,0,0,1
36,GL,2017 W36,0.38,1.58,0,0,1
37,GL,2017 W37,0.32,1.62,0,0,1
38,GL,2017 W38,0.36,1.75,0,1,0
39,GL,2017 W39,0.4,1.69,0,0,1
40,GL,2017 W40,0.43,1.61,0,0,1
41,GL,2017 W41,0.41,1.75,0,0,1
42,GL,2017 W42,0.36,1.75,0,1,0
43,GL,2017 W43,0.37,1.69,0,0,1
44,GL,2017 W44,0.36,1.61,0,1,0
45,GL,2017 W45,0.35,1.69,0,0,1
46,GL,2017 W46,0.31,1.75,0,1,0
47,GL,2017 W47,0.3,1.68,0,1,0
48,GL,2017 W48,0.32,1.87,0,0,1
49,GL,2017 W49,0.34,1.92,0,1,0
50,GL,2017 W50,1.26,2.41,0,0,1
51,GL,2017 W51,0.33,1.92,0,1,0
52,GL,2017 W52,0.34,1.88,0,1,0
53,GL,2018 W01,0.35,1.73,0,0,1
54,GL,2018 W02,0.3,1.65,0,1,0
55,GL,2018 W03,0.29,1.73,0,0,1
56,GL,2018 W04,0.29,1.65,0,1,0
57,GL,2018 W05,0.3,1.61,0,1,0
58,GL,2018 W06,0.3,1.68,0,0,1
59,GL,2018 W07,NA,NA,0,0,1
60,GL,2018 W08,NA,NA,0,0,1
61,GL,2018 W09,NA,NA,0,0,1
62,GL,2018 W10,NA,NA,0,1,0
63,GL,2018 W11,NA,NA,0,0,1
64,GL,2018 W12,NA,NA,0,0,1
65,GL,2018 W13,NA,NA,0,0,1
66,GL,2018 W14,NA,NA,0,0,1
67,GL,2018 W15,NA,NA,0,1,0
68,GL,2018 W16,NA,NA,0,1,0
69,GL,2018 W17,NA,NA,0,1,0
70,GL,2018 W18,NA,NA,0,0,1
71,GL,2018 W19,NA,NA,0,0,1
72,GL,2018 W20,NA,NA,0,0,1
73,GL,2018 W21,NA,NA,0,0,1
74,GL,2018 W22,NA,NA,0,0,1
75,GL,2018 W23,0.3,1.71,0,0,1
76,GL,2018 W24,0.3,1.63,0,0,1
77,GL,2018 W25,0.29,1.71,0,0,1
78,GL,2018 W26,0.3,1.63,0,0,1
79,GL,2018 W27,0.33,1.71,0,0,1
80,GL,2018 W28,0.34,1.59,0,0,1
81,GL,2018 W29,0.32,1.71,0,0,1
82,GL,2018 W30,0.3,1.59,0,0,1
83,GL,2018 W31,0.3,1.48,0,0,1
84,GL,2018 W32,0.34,1.63,0,0,1
85,GL,2018 W33,0.35,1.78,0,0,1
86,GL,2018 W34,0.34,1.57,0,0,1
87,GL,2018 W35,0.35,1.63,0,0,1
88,GL,2018 W36,0.35,1.71,0,0,1
89,GL,2018 W37,0.37,1.63,0,1,0
90,GL,2018 W38,0.56,1.71,0,0,1
91,GL,2018 W39,0.67,1.63,0,0,1
92,GL,2018 W40,0.58,1.71,0,0,1
93,GL,2018 W41,0.43,1.63,0,0,1
94,GL,2018 W42,0.45,1.71,0,0,1
95,GL,2018 W43,0.55,1.57,0,0,1
96,GL,2018 W44,0.66,1.63,0,0,1
97,GL,2018 W45,0.69,1.76,1,0,0
98,GL,2018 W46,NA,NA,1,0,0
99,GL,2018 W47,1.84,1.75,0,1,0
100,GL,2018 W48,1.36,1.7,0,1,0
101,GL,2018 W49,2.03,1.72,0,1,0
102,GL,2018 W50,0.9,1.92,0,1,0
103,GL,2018 W51,0.64,1.92,0,1,0
104,GL,2018 W52,0.61,1.84,0,1,0
105,GL,2019 W01,0.64,1.84,0,1,0
106,GL,2019 W02,0.66,1.85,0,1,0
107,GL,2019 W03,0.51,1.75,0,1,0
108,GL,2019 W04,0.41,1.75,0,1,0
109,GL,2019 W05,0.38,1.9,0,1,0
110,GL,2019 W06,0.42,1.9,0,1,0
111,GL,2019 W07,0.65,1.93,0,1,0
112,GL,2019 W08,0.82,1.93,0,1,0
113,GL,2019 W09,0.65,1.78,0,1,0
114,GL,2019 W10,0.48,1.93,0,1,0
115,GL,2019 W11,0.38,1.78,0,1,0
116,GL,2019 W12,0.34,1.93,0,1,0
117,GL,2019 W13,0.34,1.8,0,1,0
118,GL,2019 W14,0.39,1.93,0,0,1
119,GL,2019 W15,0.43,1.82,0,0,1
120,GL,2019 W16,0.43,1.77,0,0,1
121,GL,2019 W17,0.35,1.7,0,0,1
122,GL,2019 W18,0.34,1.71,0,0,1
123,GL,2019 W19,0.35,1.7,0,0,1
124,GL,2019 W20,0.31,1.7,0,0,1
125,IC,2017 W01,0.3,1.44,0,0,1
126,IC,2017 W02,0.31,1.04,0,0,1
127,IC,2017 W03,0.32,1.09,0,0,1
128,IC,2017 W04,0.42,1.19,0,0,1
129,IC,2017 W05,0.59,1.44,0,0,1
130,IC,2017 W06,0.78,1.44,0,0,1
131,IC,2017 W07,0.69,1.44,0,0,1
132,IC,2017 W08,0.47,1.44,0,0,1
133,IC,2017 W09,0.34,1.44,0,0,1
134,IC,2017 W10,0.49,1.44,0,0,1
135,IC,2017 W11,0.72,1.44,0,0,1
136,IC,2017 W12,0.86,1.44,1,0,0
137,IC,2017 W13,1.41,1.44,1,0,0
138,IC,2017 W14,1.82,1.44,1,0,0
139,IC,2017 W15,1.87,1.92,1,0,0
140,IC,2017 W16,1.71,1.54,1,0,0
141,IC,2017 W17,0.66,1.66,0,1,0
142,IC,2017 W18,0.44,1.79,0,1,0
143,IC,2017 W19,0.61,1.79,0,0,1
144,IC,2017 W20,0.36,1.79,0,1,0
145,IC,2017 W21,0.51,1.79,0,1,0
146,IC,2017 W22,0.53,1.41,0,1,0
147,IC,2017 W23,0.46,1.29,0,1,0
148,IC,2017 W24,0.43,1.22,0,1,0
149,IC,2017 W25,0.45,1.29,0,1,0
150,IC,2017 W26,0.5,1.24,0,1,0
151,IC,2017 W27,0.61,1.29,0,0,1
152,IC,2017 W28,0.52,1.16,0,0,1
153,IC,2017 W29,0.48,1.31,0,0,1
154,IC,2017 W30,0.38,1.31,0,0,1
155,IC,2017 W31,0.34,1.31,0,0,1
156,IC,2017 W32,0.42,1.31,0,0,1
157,IC,2017 W33,0.48,1.31,0,0,1
158,IC,2017 W34,0.38,1.31,0,0,1
159,IC,2017 W35,0.36,1.41,0,0,1
160,IC,2017 W36,0.36,1.39,0,0,1
161,IC,2017 W37,0.31,1.18,0,0,1
162,IC,2017 W38,0.92,1.34,0,1,0
163,IC,2017 W39,1.13,1.31,0,0,1
164,IC,2017 W40,1.56,1.31,0,0,1
165,IC,2017 W41,1.23,1.31,0,0,1
166,IC,2017 W42,0.5,1.61,0,1,0
167,IC,2017 W43,0.43,1.66,0,0,1
168,IC,2017 W44,0.34,1.74,0,1,0
169,IC,2017 W45,0.33,1.28,0,0,1
170,IC,2017 W46,0.31,1.41,0,1,0
171,IC,2017 W47,0.32,1.41,0,1,0
172,IC,2017 W48,0.33,1.23,0,0,1
173,IC,2017 W49,0.39,1.41,0,1,0
174,IC,2017 W50,0.35,1.49,0,0,1
175,IC,2017 W51,0.35,1.44,0,1,0
176,IC,2017 W52,0.38,1.36,0,1,0
177,IC,2018 W01,0.39,1.41,0,0,1
178,IC,2018 W02,0.33,1.46,0,1,0
179,IC,2018 W03,0.32,1.46,0,0,1
180,IC,2018 W04,0.31,1.46,0,1,0
181,IC,2018 W05,0.32,1.46,0,1,0
182,IC,2018 W06,0.32,1.46,0,0,1
183,IC,2018 W07,0.41,1.46,0,0,1
184,IC,2018 W08,0.64,1.41,0,0,1
185,IC,2018 W09,NA,NA,0,0,1
186,IC,2018 W10,0.79,1.41,0,1,0
187,IC,2018 W11,0.61,1.41,0,0,1
188,IC,2018 W12,0.42,1.41,0,0,1
189,IC,2018 W13,0.37,1.36,0,0,1
190,IC,2018 W14,0.43,1.24,0,0,1
191,IC,2018 W15,0.46,1.19,0,1,0
192,IC,2018 W16,0.63,1.49,0,1,0
193,IC,2018 W17,0.77,1.36,0,1,0
194,IC,2018 W18,0.8,1.36,0,0,1
195,IC,2018 W19,0.5,1.36,0,0,1
196,IC,2018 W20,0.34,1.24,0,0,1
197,IC,2018 W21,0.33,1.36,0,0,1
198,IC,2018 W22,0.32,1.36,0,0,1
199,IC,2018 W23,0.68,0.94,0,0,1
200,IC,2018 W24,0.71,1.06,0,0,1
201,IC,2018 W25,0.52,1.31,0,0,1
202,IC,2018 W26,0.41,1.39,0,0,1
203,IC,2018 W27,0.4,1.39,0,0,1
204,IC,2018 W28,0.55,1.39,0,0,1
205,IC,2018 W29,0.37,1.31,0,0,1
206,IC,2018 W30,0.35,1.44,0,0,1
207,IC,2018 W31,0.5,1.31,0,0,1
208,IC,2018 W32,0.81,1.31,0,0,1
209,IC,2018 W33,0.54,1.31,0,0,1
210,IC,2018 W34,0.42,1.31,0,0,1
211,IC,2018 W35,0.4,1.39,0,0,1
212,IC,2018 W36,0.38,1.31,0,0,1
213,IC,2018 W37,0.5,1.14,0,1,0
214,IC,2018 W38,0.75,1.39,0,0,1
215,IC,2018 W39,0.58,1.39,0,0,1
216,IC,2018 W40,0.42,1.31,0,0,1
217,IC,2018 W41,0.4,1.39,0,0,1
218,IC,2018 W42,0.76,1.31,0,0,1
219,IC,2018 W43,0.9,1.39,0,0,1
220,IC,2018 W44,0.74,1.39,0,0,1
221,IC,2018 W45,0.79,1.39,1,0,0
222,IC,2018 W46,0.72,1.39,1,0,0
223,IC,2018 W47,1.91,1.52,0,1,0
224,IC,2018 W48,2.16,1.51,0,1,0
225,IC,2018 W49,1.84,2.01,0,1,0
226,IC,2018 W50,0.45,2.11,0,1,0
227,IC,2018 W51,0.39,1.69,0,1,0
228,IC,2018 W52,0.47,1.54,0,1,0
229,IC,2019 W01,0.74,1.86,0,1,0
230,IC,2019 W02,0.78,1.66,0,1,0
231,IC,2019 W03,0.41,1.61,0,1,0
232,IC,2019 W04,0.37,1.61,0,1,0
233,IC,2019 W05,0.4,1.31,0,1,0
234,IC,2019 W06,0.41,1.56,0,1,0
235,IC,2019 W07,0.88,1.31,0,1,0
236,IC,2019 W08,1.34,1.44,0,1,0
237,IC,2019 W09,1.03,1.56,0,1,0
238,IC,2019 W10,0.75,1.56,0,1,0
239,IC,2019 W11,0.92,1.56,0,1,0
240,IC,2019 W12,0.56,1.61,0,1,0
241,IC,2019 W13,0.51,1.56,0,1,0
242,IC,2019 W14,0.5,1.61,0,0,1
243,IC,2019 W15,0.57,1.61,0,0,1
244,IC,2019 W16,0.42,1.56,0,0,1
245,IC,2019 W17,0.35,1.56,0,0,1
246,IC,2019 W18,0.38,1.46,0,0,1
247,IC,2019 W19,0.36,1.46,0,0,1
248,IC,2019 W20,0.35,1.46,0,0,1
249,RL,2017 W01,0.32,1.28,0,0,1
250,RL,2017 W02,0.29,1.55,0,0,1
251,RL,2017 W03,0.31,1.28,0,0,1
252,RL,2017 W04,0.34,1.32,0,0,1
253,RL,2017 W05,0.41,1.28,0,0,1
254,RL,2017 W06,0.6,1.32,0,0,1
255,RL,2017 W07,0.7,1.3,0,0,1
256,RL,2017 W08,0.6,1.86,0,0,1
257,RL,2017 W09,0.58,1.57,0,0,1
258,RL,2017 W10,0.56,1.49,0,0,1
259,RL,2017 W11,0.6,1.57,0,0,1
260,RL,2017 W12,0.86,1.57,1,0,0
261,RL,2017 W13,1.21,1.55,1,0,0
262,RL,2017 W14,1.64,1.93,1,0,0
263,RL,2017 W15,1.73,2.32,1,0,0
264,RL,2017 W16,1.16,1.93,1,0,0
265,RL,2017 W17,0.52,1.98,0,1,0
266,RL,2017 W18,0.45,1.93,0,1,0
267,RL,2017 W19,0.35,1.98,0,0,1
268,RL,2017 W20,0.33,1.93,0,1,0
269,RL,2017 W21,0.29,1.79,0,1,0
270,RL,2017 W22,0.29,1.98,0,1,0
271,RL,2017 W23,0.29,1.93,0,1,0
272,RL,2017 W24,0.31,1.98,0,1,0
273,RL,2017 W25,0.31,1.93,0,1,0
274,RL,2017 W26,0.32,1.98,0,1,0
275,RL,2017 W27,0.31,1.48,0,0,1
276,RL,2017 W28,0.33,1.41,0,0,1
277,RL,2017 W29,0.3,1.75,0,0,1
278,RL,2017 W30,0.29,1.71,0,0,1
279,RL,2017 W31,0.29,1.66,0,0,1
280,RL,2017 W32,0.29,1.71,0,0,1
281,RL,2017 W33,0.29,1.66,0,0,1
282,RL,2017 W34,0.29,1.28,0,0,1
283,RL,2017 W35,0.41,1.71,0,0,1
284,RL,2017 W36,0.38,1.66,0,0,1
285,RL,2017 W37,0.32,1.66,0,0,1
286,RL,2017 W38,0.36,2.08,0,1,0
287,RL,2017 W39,0.4,1.73,0,0,1
288,RL,2017 W40,0.41,1.68,0,0,1
289,RL,2017 W41,0.38,1.8,0,0,1
290,RL,2017 W42,0.36,1.82,0,1,0
291,RL,2017 W43,0.37,1.73,0,0,1
292,RL,2017 W44,0.35,1.68,0,1,0
293,RL,2017 W45,0.36,1.66,0,0,1
294,RL,2017 W46,0.34,1.82,0,1,0
295,RL,2017 W47,0.31,1.75,0,1,0
296,RL,2017 W48,0.31,1.92,0,0,1
297,RL,2017 W49,0.35,2,0,1,0
298,RL,2017 W50,0.34,1.78,0,0,1
299,RL,2017 W51,0.34,2,0,1,0
300,RL,2017 W52,0.34,1.96,0,1,0
301,RL,2018 W01,0.35,1.78,0,0,1
302,RL,2018 W02,0.3,1.73,0,1,0
303,RL,2018 W03,0.29,1.7,0,0,1
304,RL,2018 W04,0.29,1.73,0,1,0
305,RL,2018 W05,0.3,1.68,0,1,0
306,RL,2018 W06,0.3,1.73,0,0,1
307,RL,2018 W07,0.34,1.56,0,0,1
308,RL,2018 W08,0.44,1.75,0,0,1
309,RL,2018 W09,NA,NA,0,0,1
310,RL,2018 W10,0.46,2,0,1,0
311,RL,2018 W11,0.43,1.71,0,0,1
312,RL,2018 W12,0.41,1.73,0,0,1
313,RL,2018 W13,0.39,1.71,0,0,1
314,RL,2018 W14,0.55,1.83,0,0,1
315,RL,2018 W15,0.56,1.71,0,1,0
316,RL,2018 W16,0.68,1.83,0,1,0
317,RL,2018 W17,0.69,1.71,0,1,0
318,RL,2018 W18,0.7,1.88,0,0,1
319,RL,2018 W19,0.54,1.68,0,0,1
320,RL,2018 W20,0.38,1.83,0,0,1
321,RL,2018 W21,0.34,1.68,0,0,1
322,RL,2018 W22,0.31,1.78,0,0,1
323,RL,2018 W23,0.29,1.75,0,0,1
324,RL,2018 W24,0.29,1.71,0,0,1
325,RL,2018 W25,0.29,1.75,0,0,1
326,RL,2018 W26,0.31,1.71,0,0,1
327,RL,2018 W27,0.3,1.75,0,0,1
328,RL,2018 W28,0.3,1.66,0,0,1
329,RL,2018 W29,0.3,1.75,0,0,1
330,RL,2018 W30,0.29,1.66,0,0,1
331,RL,2018 W31,0.3,1.52,0,0,1
332,RL,2018 W32,0.3,1.71,0,0,1
333,RL,2018 W33,0.32,1.75,0,0,1
334,RL,2018 W34,0.29,1.64,0,0,1
335,RL,2018 W35,0.32,1.71,0,0,1
336,RL,2018 W36,0.33,1.75,0,0,1
337,RL,2018 W37,0.3,1.71,0,1,0
338,RL,2018 W38,0.34,4.64,0,0,1
339,RL,2018 W39,0.36,1.71,0,0,1
340,RL,2018 W40,0.36,1.75,0,0,1
341,RL,2018 W41,0.32,1.71,0,0,1
342,RL,2018 W42,0.32,1.75,0,0,1
343,RL,2018 W43,0.41,1.64,0,0,1
344,RL,2018 W44,0.4,1.71,0,0,1
345,RL,2018 W45,0.72,1.8,1,0,0
346,RL,2018 W46,0.73,1.76,1,0,0
347,RL,2018 W47,NA,NA,0,1,0
348,RL,2018 W48,2.04,1.8,0,1,0
349,RL,2018 W49,2.03,1.8,0,1,0
350,RL,2018 W50,0.9,2,0,1,0
351,RL,2018 W51,0.65,2,0,1,0
352,RL,2018 W52,0.64,2,0,1,0
353,RL,2019 W01,0.66,1.91,0,1,0
354,RL,2019 W02,0.66,1.98,0,1,0
355,RL,2019 W03,0.51,1.83,0,1,0
356,RL,2019 W04,0.42,1.83,0,1,0
357,RL,2019 W05,0.44,1.98,0,1,0
358,RL,2019 W06,0.46,1.98,0,1,0
359,RL,2019 W07,0.68,1.98,0,1,0
360,RL,2019 W08,0.82,1.97,0,1,0
361,RL,2019 W09,0.64,1.85,0,1,0
362,RL,2019 W10,0.48,1.88,0,1,0
363,RL,2019 W11,0.6,1.73,0,1,0
364,RL,2019 W12,0.35,1.85,0,1,0
365,RL,2019 W13,0.34,2,0,1,0
366,RL,2019 W14,0.43,1.86,0,0,1
367,RL,2019 W15,0.44,2.03,0,0,1
368,RL,2019 W16,0.45,1.98,0,0,1
369,RL,2019 W17,0.38,1.75,0,0,1
370,RL,2019 W18,0.34,1.73,0,0,1
371,RL,2019 W19,0.34,1.75,0,0,1
372,RL,2019 W20,0.32,1.84,0,0,1
373,RO,2017 W01,0.31,1.94,0,0,1
374,RO,2017 W02,0.32,1.94,0,0,1
375,RO,2017 W03,0.32,1.94,0,0,1
376,RO,2017 W04,0.45,1.84,0,0,1
377,RO,2017 W05,0.57,1.94,0,0,1
378,RO,2017 W06,0.82,1.84,0,0,1
379,RO,2017 W07,0.82,1.97,0,0,1
380,RO,2017 W08,0.78,1.89,0,0,1
381,RO,2017 W09,0.72,1.97,0,0,1
382,RO,2017 W10,0.99,1.86,0,0,1
383,RO,2017 W11,1.33,1.97,0,0,1
384,RO,2017 W12,1.82,1.97,1,0,0
385,RO,2017 W13,2.09,2.02,1,0,0
386,RO,2017 W14,2.11,2.47,1,0,0
387,RO,2017 W15,1.82,2.31,1,0,0
388,RO,2017 W16,0.88,2.4,1,0,0
389,RO,2017 W17,0.52,2.36,0,1,0
390,RO,2017 W18,0.45,2.47,0,1,0
391,RO,2017 W19,0.4,1.41,0,0,1
392,RO,2017 W20,0.36,2.47,0,1,0
393,RO,2017 W21,0.28,2.29,0,1,0
394,RO,2017 W22,0.28,2.33,0,1,0
395,RO,2017 W23,0.29,2.47,0,1,0
396,RO,2017 W24,0.35,2.36,0,1,0
397,RO,2017 W25,0.35,2.4,0,1,0
398,RO,2017 W26,0.35,2.36,0,1,0
399,RO,2017 W27,0.35,1.93,0,0,1
400,RO,2017 W28,0.3,1.66,0,0,1
401,RO,2017 W29,0.32,1.78,0,0,1
402,RO,2017 W30,0.31,1.98,0,0,1
403,RO,2017 W31,0.31,2.1,0,0,1
404,RO,2017 W32,0.32,1.98,0,0,1
405,RO,2017 W33,0.32,2.1,0,0,1
406,RO,2017 W34,0.42,2.01,0,0,1
407,RO,2017 W35,0.49,1.98,0,0,1
408,RO,2017 W36,0.36,2.1,0,0,1
409,RO,2017 W37,0.39,1.98,0,0,1
410,RO,2017 W38,0.56,2.16,0,1,0
411,RO,2017 W39,0.78,1.91,0,0,1
412,RO,2017 W40,0.86,2.13,0,0,1
413,RO,2017 W41,0.78,1.93,0,0,1
414,RO,2017 W42,0.53,2.23,0,1,0
415,RO,2017 W43,0.47,2.01,0,0,1
416,RO,2017 W44,0.38,2.13,0,1,0
417,RO,2017 W45,0.35,2.01,0,0,1
418,RO,2017 W46,0.35,2.27,0,1,0
419,RO,2017 W47,0.31,2.18,0,1,0
420,RO,2017 W48,0.33,2.09,0,0,1
421,RO,2017 W49,0.34,2.47,0,1,0
422,RO,2017 W50,0.34,2.07,0,0,1
423,RO,2017 W51,0.32,2.47,0,1,0
424,RO,2017 W52,0.35,2.41,0,1,0
425,RO,2018 W01,0.34,2.07,0,0,1
426,RO,2018 W02,0.29,2.19,0,1,0
427,RO,2018 W03,0.28,2.07,0,0,1
428,RO,2018 W04,0.28,2.19,0,1,0
429,RO,2018 W05,0.3,2.19,0,1,0
430,RO,2018 W06,0.3,2.07,0,0,1
431,RO,2018 W07,0.38,2.19,0,0,1
432,RO,2018 W08,0.78,2.09,0,0,1
433,RO,2018 W09,NA,NA,0,0,1
434,RO,2018 W10,0.9,2.09,0,1,0
435,RO,2018 W11,0.73,2.22,0,0,1
436,RO,2018 W12,0.68,2.09,0,0,1
437,RO,2018 W13,0.67,2.22,0,0,1
438,RO,2018 W14,0.77,2.09,0,0,1
439,RO,2018 W15,0.72,2.22,0,1,0
440,RO,2018 W16,0.5,2.09,0,1,0
441,RO,2018 W17,0.34,2.22,0,1,0
442,RO,2018 W18,0.32,2.17,0,0,1
443,RO,2018 W19,0.3,2.07,0,0,1
444,RO,2018 W20,0.3,1.99,0,0,1
445,RO,2018 W21,0.31,2.07,0,0,1
446,RO,2018 W22,0.3,2.09,0,0,1
447,RO,2018 W23,0.28,2.09,0,0,1
448,RO,2018 W24,0.3,2.09,0,0,1
449,RO,2018 W25,0.31,1.99,0,0,1
450,RO,2018 W26,0.31,2.09,0,0,1
451,RO,2018 W27,0.32,1.84,0,0,1
452,RO,2018 W28,0.31,2.16,0,0,1
453,RO,2018 W29,0.3,1.99,0,0,1
454,RO,2018 W30,0.29,2.16,0,0,1
455,RO,2018 W31,0.29,1.82,0,0,1
456,RO,2018 W32,0.34,2.09,0,0,1
457,RO,2018 W33,0.39,1.99,0,0,1
458,RO,2018 W34,0.38,2.06,0,0,1
459,RO,2018 W35,0.39,2.16,0,0,1
460,RO,2018 W36,0.39,1.99,0,0,1
461,RO,2018 W37,0.39,2.09,0,1,0
462,RO,2018 W38,0.44,1.99,0,0,1
463,RO,2018 W39,0.52,2.09,0,0,1
464,RO,2018 W40,0.57,1.99,0,0,1
465,RO,2018 W41,0.49,2.16,0,0,1
466,RO,2018 W42,0.59,1.99,0,0,1
467,RO,2018 W43,0.96,2.06,0,0,1
468,RO,2018 W44,1.07,2.09,0,0,1
469,RO,2018 W45,1.06,2.04,1,0,0
470,RO,2018 W46,NA,NA,1,0,0
471,RO,2018 W47,NA,NA,0,1,0
472,RO,2018 W48,1.01,2.14,0,1,0
473,RO,2018 W49,0.63,2.14,0,1,0
474,RO,2018 W50,0.35,2.22,0,1,0
475,RO,2018 W51,0.35,2.09,0,1,0
476,RO,2018 W52,0.34,2.22,0,1,0
477,RO,2019 W01,0.36,2.22,0,1,0
478,RO,2019 W02,0.35,2.22,0,1,0
479,RO,2019 W03,0.33,2.25,0,1,0
480,RO,2019 W04,0.32,2.25,0,1,0
481,RO,2019 W05,0.35,2.2,0,1,0
482,RO,2019 W06,0.4,2.2,0,1,0
483,RO,2019 W07,0.6,2.2,0,1,0
484,RO,2019 W08,0.79,2.04,0,1,0
485,RO,2019 W09,0.7,2.2,0,1,0
486,RO,2019 W10,0.49,2.28,0,1,0
487,RO,2019 W11,0.43,2.12,0,1,0
488,RO,2019 W12,0.34,2.12,0,1,0
489,RO,2019 W13,0.39,2.12,0,1,0
490,RO,2019 W14,0.46,2.28,0,0,1
491,RO,2019 W15,0.56,2.12,0,0,1
492,RO,2019 W16,0.51,2,0,0,1
493,RO,2019 W17,0.39,2,0,0,1
494,RO,2019 W18,0.36,2,0,0,1
495,RO,2019 W19,0.36,2,0,0,1
496,RO,2019 W20,0.35,2,0,0,1
